Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
1,,C0603,C21,10p,0603,1,
2,,C0805,C16C17C18C19,10uF,C0805,4,
3,,B,C20,47uF,B,1,
4,,D-OB.SMA,D1,D-OB.SMA,SMA,1,
5,,LPS3015,L2,LPS3015-152MLC,LPS3015,1,
6,,POJISTKA_1812,P1,POJISTKA_1812,1812,1,
7,,TRIM_CA9MTV10,P2,TRIM_CA9MTV10,TRIM_CA9MTV10,1,
8,,R0603,R28,51k1,0603,1,
9,,R0603,R10,287k,0603,1,
10,,MA02-1,SV1SV6,MA02-1,MA02-1,2,
11,,MA03-2,SV3SV5,MA03-2,MA03-2,2,
12,,APX809-26SA,X9,APX809-26SA,SOT23,1,
13,,SROUB3M,X1X2X3X4,SROUB3M,SROUB3M,4,
14,,TPS63036,X10,TPS63036,DSBGA8,1,
