Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C16","10uF","C0805",145.9611,-104.8766,0.0000,bottom
"C17","10u","C0805",150.4061,-111.6711,90.0000,bottom
"C18","10u","C0805",148.5011,-111.6711,90.0000,bottom
"C19","10u","C0805",146.4691,-110.9726,90.0000,bottom
"C20","47uF","B",151.0411,-104.3686,180.0000,bottom
"C21","10p","0603",144.5006,-112.3696,-90.0000,bottom
"D1","","SMA",154.5336,-99.2886,-90.0000,bottom
"L2","LPS3015-152MLC","LPS3015",149.1361,-107.8611,-90.0000,bottom
"P1","","1812",150.7236,-99.2886,-90.0000,bottom
"R10","287k","0603",145.2626,-114.4651,0.0000,bottom
"R28","51k1","0603",144.5006,-109.5121,-90.0000,bottom
"X9","","SOT23",142.4051,-103.8606,180.0000,bottom
"X10","","DSBGA8",146.5961,-107.5436,-90.0000,bottom
